sensor,axis,parameter,before,after,unit,change_percent
accel,x,ARW/VRW,0.0869862179357129,0.08698688348579771,m/s/sqrt(h),0.000765121303802907
accel,x,BI,0.04023413149633114,0.04340174344642013,mg,7.872947252205087
accel,x,RRW,0.14324632976781598,0.12793624572614015,mg/sqrt(h),-10.687941580417116
accel,x,Rate Ramp,,,mg/h,
accel,y,ARW/VRW,0.08779833467081441,0.08779834947504862,m/s/sqrt(h),1.6861634422049576e-05
accel,y,BI,0.029864649104495204,0.02996969735284833,mg,0.35174780720030885
accel,y,RRW,0.04084697120184219,0.04120916153325193,mg/sqrt(h),0.8867005820823337
accel,y,Rate Ramp,,,mg/h,
accel,z,ARW/VRW,0.12314508647006106,0.12314964439215934,m/s/sqrt(h),0.0037012618439913325
accel,z,BI,0.07044652663908281,0.07046680180351203,mg,0.028780928452443177
accel,z,RRW,0.5339263704524189,0.4734709540066736,mg/sqrt(h),-11.322800256994004
accel,z,Rate Ramp,0.7292932031044591,1.1074464296474629,mg/h,51.852015750767876
gyro,x,ARW/VRW,0.19165788392576433,0.19246475989413647,deg/sqrt(h),0.4209980574995109
gyro,x,BI,10.333343827060995,9.823750214770655,deg/h,-4.931546078587012
gyro,x,RRW,89.28670698440035,34.1456697327337,deg/h/sqrt(h),-61.75727509056927
gyro,x,Rate Ramp,0.03306910027616043,,deg/s per h,
gyro,y,ARW/VRW,0.21869024056252723,0.2187090317415431,deg/sqrt(h),0.008592600642587378
gyro,y,BI,9.385885083789846,9.23370006554067,deg/h,-1.621424265166116
gyro,y,RRW,42.161445693558946,26.59255981581487,deg/h/sqrt(h),-36.92683118815007
gyro,y,Rate Ramp,0.010376033046036752,,deg/s per h,
gyro,z,ARW/VRW,0.2535913301952395,0.253601533997854,deg/sqrt(h),0.004023719031187589
gyro,z,BI,4.514490949315343,4.925926898138139,deg/h,9.113673134845769
gyro,z,RRW,19.156143439771352,24.897506904407148,deg/h/sqrt(h),29.971395248146692
gyro,z,Rate Ramp,0.006561607352314464,0.009134326092371203,deg/s per h,39.20866644282317
